Subject;Author;Date;Time;HTML Article
ITKK:n otteluraportit 20.1.- 29.1.2004;Mikko Kuusio / ITKK;2004-02-03;15:38:24;<p>SuperWeekendin jälkeen ei Mestareille taukoa suotu. Tiedossa oli kaksi kovaa viikkoa ja edessä neljä ottelua varsin tärkeää ottelua. Panoksena jo mahdollinen pudotuspelipaikan varmistaminen.</p><p><br></p><p>Viikolla neljä vastaan asettuivat tiistaina Pentit ja torstaina Draconis. Penttejä vastaan kokeneella kalustolla, joka ei sitten rookie vuosien ole kavahtanut Penttien kirjavaa käyttäytymistä otteluiden aikana. Peli oli hyvä esimerkki liigan ON/OFF tasosta sillä ottelun ainoa tasaisesti molemmissa erissä heittänyt pelaaja oli Penttien 'Hurkke' Harmaana (14+14 pistettä). Ensimmäisessä erässä Pentit olivat OFF-asennossa ja ITKK aloittajaa lukuunottamatta ON-asennossa. Tuloksena 40-16 erä. Toiselle jaksolle Mestarit vaihtoivat aloittajaa, joka heittikin kaksikertaa niin paljon kyykkiä ulos kuin edellinen aloittaja, mutta muut heittäjät siirtyivät OFF-tilaan ja Penteille avautui jopa tilaisuus voittaa koko ottelu. Penttien kiri tosin hyytyi kuuteen viimeiseen heittoon, joiden saldona kolme haukea, kolme ulosmennyttä kyykkää ja yksi virkamies. ITKK näperteli erän lukemiin 16-32 ja koko pelin siis kotiin lukemin 56-48.</p><p><br></p><p>Torstaina oli tarjolla mahdollisuus oikaista SuperWeekendissä kärsitty rökäletappio Draconista vastaan. Ensimmäinen jakso olikin tasaista vääntöä ja eroa syntyi vain kaksi pistettä. ITKK:n nelikko Kuusio-Jääskeläinen-Matikainen-Ahonen pelasi tasaisesti kahdesta hauesta huolimatta. Tulos 10-8. Toiseen erään Draconis vaihtoi kolmospaikalle Salmelan, mutta tulokseen sillä ei ollut merkitystä sillä tasaiset erät hettänyt Draconis päätyi jälleen kahdeksaan pisteeseen. Mestarien tasaisuus jatkui, mutta se ei riittänyt vaan 15:sta pisteellä ei ollut tarjolla kuin nolla sarjapistettä loppulukemin 25-10.</p><p><br></p><p>Viikolle viisi otteluohjelma näytti vastustajiksi lumen tultua hyvään vireeseen päässeen LSD:n ja aina tiukkoja pelejä tarjoavan KCK:n. LSD:tä vastaan Mestarit oli joutunut sotkemaan perinteisiä kuvioitaan, koska Akateemisiin kisoihin valmistautuva Ahonen oli siirtynyt luutakerhosta aloituspaikalle. Ahonen saalistikin ensimmäisen erän parhaat pisteet (24) ja valmennusjohto tyytyi kohtaloonsa peluutuksien suhteen ja toivotaan ettei luutapuolelle synny kauden edetessä LSD:n kaltaisia ongelmia. Mestareiden Matikainen hoiti luutapuolta ITKK:n osalta mallikkaasti läpi ottelun ja nöyryytti vastustajan Drocania kuudella kyykällä. Ottelu oli tasaista vääntöä kokoajan, mutta Mestarit onnistuivat paremman viimestelyn ansiosta hoitamaan pelin lukemin 23-33 (8-14).</p><p><br></p><p>Torstaina olikin panoksena Mestareiden osalta lähes varma jatkopaikka. ITKK lähti peluuttamaan treenimielessä nelikkoa Kuokka-Pesonen-Latva-Matikainen. Valmennusjohto kommentoi asiaa kentän laidalta sanoin: 'Jossei pojat reenaa niin pitää reenata peleissä. Ei uskalla ottaa riskiä että joutuu heitämään kylmiä miehiä kehiin finaalisarjassa, jossei jollakin palikat kestä painetta.' Peluutus näytti toimivan ja tasaisuus oli taaskin valttia. Mestareiden pelaajat olivat kaikki viiden kyykän sisällä henkilökohtaisissa saldoissa. KCK pelasi tavoilleen uskollisesti vastustajan mukaan ja perinteisesti lopuussa hieman huonommin, joten pisteet niukasti ITKK:lle tuloksella 43-41 (17-17).</p><p><br></p><p>Käytännössä voitolla KCK:sta Mestarit varmistivat jatkopaikkansa vaikka joukkueella on vielä kolme ottelua jäljellä. Eroa putoamisviivalla oleviin LSD:hen ja PLEE:hen on nyt 7 pistettä ja molemmilla on teoriassa mahdollista saada maksimissaan 7 pistettä, koska joukkueilla on vielä keskinäinen ottelu jäljellä. Onneksi Mestarit ovat hoitaneet tuplavoitot molemmista joukkeista, joten tasapisteissä joukkueet pysyvät ITKK:n takana. Nollakerhon VTTU:lla ei ole edes teoreettista mahdollisuutta ohittaa enää Mestareita. Mestareiden urakka jatkuu ensi torstaina ottelulla liigan heittopussia VTTU:ta vastaan. Nähtäväksi jää onko VTTU:n training camp tuottanut tulosta vai heitteleekö joukkue edelleen pääasiassa toisiaan kartuilla.</p>
OTTELURAPORTTI DRA-PLEE 3.2.2004;Jukka Tanninen / DRA;2004-02-03;23:02:49;<p>Kotijoukkueen tarkoituksena oli pitää hauskaa ja antaa peliaikaa joukkueen vähäosaisemmille, lopputuloksesta piittaamatta. Vaan kuinkas siinä sitten kävikään?</p><p><br></p><p>Ensimmäiseen erään asteli varsin kumman näköinen joukkio, kutsuttakoon kokoonpanoa mielikuvituksellisesti vaikka nimellä Salmela - Rannikko - Huusansaari - Lahdenperä. Tähän peliin asti Draconiksen johtoporras oli huolellisesti piilotellut salaista ässäänsä, Jani 'Hauki-Husse' Huusansaarta. Myös suoraan veivaava Kalle 'Routakoura' Rannikko ja hallitseva Haukikuningas Janne 'Vesiperä' Lahdenperä käärittiin naftaliinista Penttejä vastaan.</p><p><br></p><p>Plee-merkkiset sedät päättivät tästä hyvästä peluuttaa ehdotonta ykkösnyrkkiään (Lintunen - Vuoti - Alitalo - Akkanen), olihan pitkästä aikaa etukäteisarviot valkotakkisten setien puolella.</p><p><br></p><p>Ensimmäisen erän suurin yllätys oli se, että molemmat joukkueet nakkelivat tasaisesti kyykkiä ulos, erän mennessä Penteille 11-14. Toiseen erään ruoanlaitosta (!) ehtinyt (Penteillekin empaattinen) Jyri 'Kokki' Koistinen otettiin liian hyvin pelanneen Salmelan tilalle. Pyhänä tarkoituksenahan oli antaa Penteille sarjapisteet ja näin aiheuttaa säpinää pudotuspeliviivan molemmin puolin. Toiseen erään Huusansaari sai varmaan Ilmarin Ladan akusta lisävirtaa (kai se auto saatiin käyntiin?) niin, että hermostutti vastapuolta muutamalla hyvin valikoidulla trick-shot heitolla. Kun haukikuninkaaltakin jäi kalajutut kertomatta, jätettiin kentälle 21 pistettä.</p><p><br></p><p>Kun Penttien Lintunen pystyi vain peruspeliin ja Marko 'Virka-Vouti' Vuoti keskittyi kasaamaan Allille hyviä paikkoja, Penteillä oli kentällä vielä 45 pistettä Alitalon ja Akkasen raahautuessa kentälle. Vahvasti pelanneen Alitalon jälkeen lukuisia kertoja Penteille voiton ratkaissut Jaakko 'Jaska' Akkanen epäonnistui kuitenkin aavistuksen viimeisessä heitossaan, jättäen kentälle 26 pistettä. Kotijoukkueen tyrmistykseksi erä 21-26 ja ottelu 35-37 Draconiksen hyväksi!</p><p><br></p><p>Jo seitsämän ottelua tappioitta pelannut Draconis kohtaa seuraavaksi kotonaan revanssihenkisessä ottelussa Pikakyykkämetallimiehet. Tuleeko taas pitkätukilta rumasti takkiin vai varmistuuko välieräpaikka?</p><p><br></p><p>Pelimiehet vastakkain tiistaina 10.2. klo 18.</p>
KCK:n otteluraportit 27.01.-03.02.2004;Juha Huttunen / KCK;2004-02-03;23:37:49;<p>27.01. oli ensimmäisenä näistä kolmesta ottelusta, vastukseksi tarjoutui runkosarjan kärkipaikkaa kohtuullisen varmassa otteessa pitänyt Draconis. Ennakko-odotuksista huolimatta tasaisen ensimmäisen erän 14-10 tulos tarjosi yleisölle katsottavaa myös ottelun loppupuoliskolle.</p><p><br></p><p>Lisäjännitystä loi myös Draconiksen pelaaja nro. 66:n äkillinen tuloskunnon lasku, yleisön ja kotijoukkueen suunnattomasta kannustuksesta huolimatta, joka oli koitua koko joukkueen kohtaloksi. Perinteiseen tapaan.</p><p><br></p><p>KCK kuitenkin jälleen pystyi venymään lähes vastustajansa tasolle, ja ottelu päättyi lopulta Draconiksen voittoon tuloksella 35-30 (14-10).</p><p><br></p><p>Seuraava ottelu pelattiin kaksi päivää edeltävän jälkeen, eli 29.01. Tällä erää vastassa oli ITKK, KCK:n tapaan runkosarjan keskisijoilla pyörinyt joukkue. Tasaisen ottelun lopputulos kertonee kaiken mitä voi, tasan pelatun ensimmäisen erän jälkeen toisen erän kahden pisteen tappio tarkoitti lopputulosta 43-41 (17-17) ITKK:n hyväksi.</p><p><br></p><p>Kiivastahtisen ottelu-osuuden viimeisin ottelu pelattiin 03.02. PKMM:ää vastaan. Pikakyykkämetallimiesten läsnäolosta huolimatta vaikutti siltä että myös itse Pietari olisi rohjennut juhlistamaan ottelua läsnäolollaan.</p><p><br></p><p>Vaikka KCK:n kokoonpanossa oli huomattavissa pientä onnistuneen kokeilun makua, paikkasi loppujoukkue tapahtunutta varsin tyylikkäästi, erätulosten painuessa päälle kahdenkymmenen. Kotijoukkueen onneksi myös PKMM suorittautui heitoistaan varsin vaihtelevalla menestyksellä, joten lopputulokseksi muodostautui tämän kauden (ja myös PKMM:n) toinen tasapeli pistein 50-50 (27-20).</p><p><br></p><p>Jäljellä runkosarjassa KCK:llä on enää kaksi ottelua joista molemmat kotiotteluja: 10.02. VTTU:a vastaan, sekä 19.02. runkosarjan viimeinen ottelu, jossa vastaan tulee LSD.</p>
OTTELURAPORTTI: LSD - VTTU 3.2.2004;LSD;2004-02-03;23:53:05;<p>Pelissä oli muitakin kovia jännitteitä kuin yleisön odottama joukkoryventä, onneksi KCK ja PKMM olivat jo moisen hoitaneet edellisessä pelissä niin <br>suorituspaineet tältä osin olivat joukkueille pienemmät.</p><p><br></p><p>LSD tarvitsi pisteitä päästäkseen pudotuspeliviivan yläpuolelle ja VTTU elätteli toiveita saada 9iv putken perään 5ih jolloin pudotuspelit olisivat muiden käsissä.</p><p><br></p><p>LSD päätti luottaa kokeneeseen Lund - Uimonen - Kemppainen - Drocan ketjuun, joka paikalle ehtineistä pelaajista edusti joukkueen tilastokärkeä. Kun taas <br>VTTU marssitti kentälle vähintään arveluttavat Tervo - Pääkkönen - Raatikainen - Lavikainen - no eipä koko joukkueesta muuta materiaalia löydykään - oli ottelun pääpiirteet jo selvillä.</p><p><br></p><p>Rytmi oli päällä heti alussa, neljä ensimmäisen heittoa: LSD 14 vs. VTTU 8 kyykkää  ulos. LSD:n liki kikkailulta näyttävä taktiikka, yksittäisten tornien poisto virkamiestenkin uhalla ja tehokas lähipeli, tuntui toimivan kohtalaisen mukavasti, näin ei kenttä päässyt pahasti akkautumaan ja hauettomalla pelillä pääsi kohtalaiseen erätulokseen ilman suuria riskejä.</p><p><br></p><p>Kun samalla VTTU  pelasi itseään ahdinkoon jättämällä kentälle hajanaisia torneja joita eivät sitten pystyneetkään poistamaan, ei tarvinnut perata ankkuri Lavikaisen kahta lopetushaukea kyetäkseen ennustamaan miten peli tulee päättymään. Numerot 9-42 ja mietteet alkoivat LSD:llä olla illan viimeisessä pelissä ja VTTU:lla divarikarsinnassa.</p><p><br></p><p>Toiseen erään kotijoukkue jatkoi samoilla pelaajilla, kun taasen VTTU siirtyi sopupeliin ja vaihtoi koko ketjun. Olikohan joukkueen johto tullut ajatelleeksi, että näyttämällä koko pelaajajoukkiota yleisön seassa päivystäville scouteille voisi ansaita hieman hilloa ja hinajaa muuten niin tyhjään kassaan. Ehkä näin voisi saada myytyä muutamia pelaajia vielä ennen siirtoajan päättymistä mikäli nämä yltyisivät huimaan vetoon.</p><p><br></p><p>LSD:n kapteeni näytti heti kärkeen aloitushauella että ei tässä mitään hätää ole, kunhan nakellaan pikkuhiljaa niin ei voida hävitä kuin korkeintaan erä. Noin kaksi kyykkää heitolla taktiikkaa soveltamalla pääsee yleensä tuloksen 12 tuntumaan, mutta Lundin ja Uimosen poiketessa ruodusta sai 16 kelvata. VTTU yritti kovasti sinnitellä mukana\; Keräsen ja Dahlbomin heittelykin alkoi jo muistuttaa pelaamista. Kun ensimmäisessä erässä pelasi vain Raatikainen niin havaitaan pelaajien tuplaamisen aikaansaaneen erätuloksen puolittumisen.</p><p><br></p><p>Tästä voi matikka ykkösen suorittaneet rakentaa funktioita joista näppärät voivat tulkita kannattaisiko jotain tehdä ja jos niin mitä. Tulos 25-63 ja +/- tilastossa LSD saavutti lukeman +101, joten tämän johdosta joukkue omistaa voiton takavuosien pelaajalleen Kari Ojaselle.</p><p><br></p><p>Peli ja pisteet siis LSD:lle reilulla marginaalilla ja pudotuspeliviiva tuli taas ohitettua, tällä kertaa ylös<br>mennessä. Illan viimeisen ottelun tulos määritti tilanteen stabiiliuden, kun Pentit yrittivät pistelisää sarjajohtajalta. No se oli vaan yritys ja LSD:n 2p etumatka säilyi. Torstaina onkin luvassa todellinen spektaakkeli ja huippujännittävä kamppailu kun nämä <br>kaksi joukkuetta kisaavat kumpi saa pitää paikan viivan yläpuolella.</p>
Otteluraportti: LMTVO - PKMM 5.2.2004;Juha Varis / LMTVO;2004-02-06;11:04:42;<p>Tunnelma oli ennen ottelua melkoisen hektinen, olihan taistelu suorasta välieräpaikasta kovimmillaan. ITKK:n hävittyä sensaatiomaisesti Liigan heittopussi VTTU:lle, Luolamiehillä oli erinomainen tilaisuus varmistaa kahden parhaan joukossa pysyminen. Kenttä oli ensi kertaa tällä kaudella lähes pääkallokunnossa ja se mitä ilmeisemmin sopi mustapukuisille miehille paremmin kuin ryhmysauvojen ja mammutinnahkojen kanssa luolistaan esiin kömpineille Homo Erectuksille.</p><p><br></p><p>Ensimmäinen erä oli melko tasaista vääntöä, Luolamiehet aloittivat totutulla raivolla ja johtivatkin reilusti ensimmäisten heittojen jälkeen. Sitten vuoroon tuli metelimiesten Ilmari Laakkonen ja täräytti ensitöikseen 8 kyykkää<br>ulos ja itsensä Hall of Fameen. Tämä piristi joukkuetta siinä määrin, että luoliksien hieman räpeltäessä erän lopussa pääsi PKMM tasoittamaan tilanteen lukemiin 10 - 10.</p><p><br></p><p>Toiseen erään kapteeni Penttinen vaihtoi itsensä hieman heikosti heittäneen Tapasen tilalle ja näin saatiin lisää kokemusta kentälle. PKMM luotti omaan nelikkoonsa sen verran rautaisesti, että vaihtopenkin luukku ei narissut. Aloittajat Kokkonen ja Saxell heittivät taas hyvin ja tasaisesti, mutta kakkosheittäjät ja varsinkin Luolamiehien Varis sössivät omat heittonsa melko täydellisesti. Loppupään heittäjistäkin PKMM oli koko ajan hiemen niskan päällä, vaikka Pyykön joulukuusi tasoittikin peliä. Kokonaisuudessaan metelimiehet säilyttivät tasonsa ja luolikset taas lipsuivat jonkin verran erän päättyessä PKMM:lle 19 - 9 ja koko pelin tuloksen ollessa 29 - 19. 7 haukea peliin on liikaa.</p><p><br></p><p>Ensi viikolla jännät pelit jatkuvat, sillä Luolamiehet kohtaavat takana läähättävän ITKK:n ja PKMM johtopaikalla kekkuloivan Draconiksen. Torstaina taas vastaan asettuu viimeisestä jatkopelipaikasta kynsin ja (teko?)hampain taisteleva Pentit.</p>
Otteluraportti: PLEE-LSD 5.2.2004;Sami Kontio / PLEE;2004-02-06;15:08:52;<p>Liigan häntäpään jännitysnäytelmä sai uutta potkua karsintaviivan molemmin puolin taistelevien joukkueiden kohtaamisessa. Jos LSD voittaisi yli 5 pisteellä, ei Plippisjoukolla olisi enää mitään toivoa jatkopeleihin.</p><p><br></p><p>Ensimmäinen erä meni kohtuullisen tasaisissa tunnelmissa, mutta tavoilleen uskollisina Olvin Pentit veivät erävoiton 'selvästi' seitsemällä pisteellä luvuin 15-22</p><p><br></p><p>Toinen erä alkoi huononlaisesti, ja näyttikin siltä että vodkaturistit sortuvat jälleen kerran luokattoman huonoon toiseen erään. LSD:n aloittaja Uimonen tosin päätti tasoittaa tilannetta hiukan heittämällä aloitusheiton kahteen otteeseen. Puolivälissä erää tilanne näytti hälyttävältä Penttien kannalta. Erän ratkaisi Pentti Alitalon viimeiset kaksi heittoa jotka veivät ulos yhteensä 8 kyykkää, ratkaisten tilanteen lopullisesti. Tähän lisättiin Pentti Akkasen 2 x 1 kyykkää, jolloin erä meni Penteille luvuin 12-14 ja koko peli tuloksella 27-36.</p><p><br></p><p>Näin Pentit nousivat jälleen karsintaviivan yläpuolelle. Kun molemmilla joukkueilla on vielä 2 runkosarjaottelua jäljellä, voimmekin varmasti odottaa jännittäviä hetkiä toisen karsijajoukkueen ratkaisemisessa.</p>
Otteluraportti: DRA-PKMM 10.2.2004;Jukka Tanninen / Dra;2004-02-11;09:52:24;<p>Illan lämmittelyotteluna käytiin pelimiesten välinen voimainmittelö. Edellisessä yhteenotossa rumasti takkiin ottanut tonttulegioona lähti nälkäisenä hakemaan pikametallihirviöltä varmaan välieräpaikkaan tarvittavaa tasuria.</p><p><br></p><p>Heti pelin alkaessa huomattiin, että joukkueista selvästi nälkäisempi löytyikin, yllätys yllätys, keltapaitojen puolelta. Hutunkeiton jälkeen pikakyykkääjät ryntäsivät laumana hutun kimppuun. Ensimmäisenä haukikeitolle kiirehti aloitusheittäjä Timo 'Trolli' Saxell, joka nälkäisimpänä kauhoi alkupaloikseen konan läpäisseellä aloitusheitollaan haukisoppaa oikein olan takaa. Viimeistään tässä vaiheessa yleisökin heräsi, ja hyvä niin, sillä raskaan metallin vääntäjät välttelivät jatkossa puisia pulikoita onnistuneesti vielä kahdeksan kertaa!</p><p><br></p><p>Saxell tosin paranteli osakkeitaan toisessa erässä heittäen ulos 15 kyykkää. Metelimiesten ykköheittäjän ollessa kyykkävahdissa muu joukkue istahtikin sitten leirinuotiolle nauttimaan kauden parasta kalasoppaa. Kauha kiersi tasaisesti, lopputuloksena kaksi hutia per mies.Olisiko joukkueen kapteeni huolestuneena katsonut haukitilastoja ja havainnut joukkueen pelaajien haukiprosentin infernaalisen alhaiseksi? Haukitekniikan tohtorit Kämäräinen ja Ikonen onnistuivat muita paremmin, kasvattaessaan kauden haukisaalistaan kolmella vonkaleella. Onnittelut!</p><p><br></p><p>Draconis taas onnistui siinä missä aiemminkin: kolmospaikalla säädettiin muiden pystyessä rutiinitulokseen. Haukikisa hävittiin rumasti 2-9, ottelu kuitenkin voitettiin pistein 21-43 (15-27). Välieräpaikka tuli näin varmistettua ja joukkueen eniten pelanneet saivat johdolta muhkeat lomarahat. Harjoituksissa loistanut vilttiketju pääseekin näyttämään nopanheitossa teroitetut kyntensä VTTU:ta ja LMTVO:ta vastaan seuraavalla viikolla. Jatkuuko kahdeksan voiton putki, sitä jännittänee vain tilastonikkarit.</p>
Otteluraportti: LMTVO - ITKK 10.2.2004;Juha Varis / LMTVO;2004-02-11;09:58:12;<p>Tiistain ottelussa oli paljon pelissä, kun Luolamiehet ja Komeetat kohtasivat toista kertaa tämän kauden runkosarjassa. Mikäli kotijoukkue veisi voiton, astuisi se ison askeleen kohti suoraa välieräpaikkaa. Käänteisesti taas ITKK:lla olisi voittamalla mahdollisuus edelleen samaan. Osa joukkueiden pelaajista oli jo aiemmin sparraillut toisiaan ja uho oli kova molemmin puolin. Vuosien varrella on nähty monia huikaisevan tasaväkisiä otteluita joukkueiden kesken, joten myös tästä ottelusta voitiin odotella varsinaista thrilleriä, jossa ratkaisu venytetään viimeisille heitoille saakka.</p><p><br></p><p>Luolamiehet lähtivät peliin jo melko tutuksi tulleella nelikolla Honka, Varis, Pyykkö S ja Tapanen. Tuhovoimaa ei tästä porukasta puutu ja erän ensimmäisen puolikkaan jälkeen kentältä oli poistunut n. 2/3 kyykistä. ITKK:n ketju Ahonen, Pesonen, Jääskeläinen, Matikainen ei tästä kuitenkaan ollut moksiskaan, vaan räjäytti vielä pari kyykkää enemmän ulos omalla vuorollaan. Mahtoivatko Mestarit hämmästyä itsekin tästä suorituksestaan, vai mitä mahtoi tapahtua, koska erän loppupuolisko meni täysin läskiksi. Viisi nollaheittoa kahdeksasta ei ole kovin mairitteleva lopetus. Kotijoukkuekaan ei aivan täydellisesti onnistunut, joten toiseen erään lähdettiin kutkuttavan jännittävästä tilanteesta 8 - 11.</p><p><br></p><p>Väliajalla ei saatu kahvia eikä pullaa, joten katsojien hengähdystauko tästä<br>jännitysnäytelmästä jäi lyhyeksi. Molempien joukkueiden kapteenit olivat ilmeisesti tyytyväisiä pelaajien esityksiin, koska vaihtoja ei nähty.</p><p><br></p><p>Toinen erä alkoi samalla tavalla kuin ensimmäinenkin, Luolamiehet karjuivat suurimman osan kyykistä heti alussa kauas pois neliöstä, mutta ITKK:n käsissä kartut ilmeisesti vapisivat liikaa ja tulos oli ainoastaan keskinkertainen. Tässä vaiheessa näytti jo melko varmalta, että Luolamiehet saalistavat jälleen 2 pistettä Mestareilta, mutta ensimmäisen erän osat vaihtuivat ja Luolamiesten hapuillessa ITKK kiri melkein tasoihin. Erän lopputulos lähes sama kuin ensimmäisessä eli 8 - 10 ja peli Luolamiehille 16 - 21.</p><p><br></p><p>Ottelu osoitti, että molemmat joukkueet ovat kovassa kunnossa, mutta tasaisuutta ja tarkkuutta täytyy vielä parantaa, että pudotuspeleissä pääsee pitkälle.</p>
OTTELURAPORTTI: KCK-VTTU 10.02.2004;Juha Huttunen / KCK;2004-02-13;00:48:13;<p>Ensimmäinen erä alkoi tasaväkisesti, ensimmäisten heittojen jälkeen tilanteen ollessa lähes tasan. Pian ottelu alkoi kuitenkin sisältämään samantapaisia merkkejä kuin VTTU:n edellinen koitos ITKK:a vastaan, onnen kääntyessä heidän puolelle. Lopulta KCK:n kerätessä ensimmäisen erän yhteistulokseksi 13 pistettä, sai VTTU Keräsen, Hemmilän ja Raatikaisen erinomaisten toisten heittojen myötä tasan 0 pistettä.</p><p><br></p><p>Toiseen erään KCK:lla oli toiveena vain että VTTU ei onnistuisi enää lähellekään samankaltaiseen suoritukseen kuin ensimmäisessä erässä. Kuitenkin jo pelaajien ensimmäisten heittojen jälkeen oli selvää ettei ottelun kulkua voisi kääntää enää kuin ihme, ja VTTU:n taipuessa tässäkin erässä lopulta 4 pisteen tulokseen (ennen kaikkea Mikko Raatikaisen erinomaisen nelospaikan suorituksen myötä), ei KCK:n kohtuullinen 14 pistettä enää auttanut.</p><p><br></p><p>Kauden ensimmäisen yksinumeroisen ottelutuloksen heittäneelle VTTU:lle täytyy nostaa hattua, liigan pisteautomaattina toimiminen tällä erää näyttää jääneen. Ottelu päättyi siis VTTU:n eduksi 27-4.</p><p><br></p><p>KCK:n kannalta ratkaiseva hetki siirtyi täten tuleviin otteluihin, ratkaisun tullessa viimeistään runkosarjan viimeisessä ottelussa LSD:tä vastaan.</p>
Otteluraportti: LMTVO-DRA 17.2.2004;Aki Penttinen / LMTVO;2004-02-18;09:24:45;<p>Tämän kertaisessa ottelussa kohtasivat sarjan kaksi kärkijoukkuetta. Sarjasijoituksiin ottelulla ei ollut enää mitään merkitystä, mutta moraalisesti ja jatkopelien kannalta sillä saattoi olla hyvinkin suuri merkitys. Luolamiehet joutuivat peliin tutusta poikkeavalla miehityksellä Juha 'Onni' Variksen ollessa loukkaantuneena. Vastapuolikaan ei peluuttanut ykköstykkejään, joten kumpikin joukkue suosi kokoonpanoissaan vähemmän tällä kaudella heittäneitä pelaajia, olihan nyt viimeinen tilaisuus antaa näyttöjä jatkopelejä varten. Luolamiesten 'ihmenelosina' häärivät Honka, Penttinen, Pyykkö M. ja Tapanen. Lohikäärmeet puolestaan turvautuivat hyvän noppaonnen erikoismiehiin Tuimala, Rannikko, Huusansaari ja Lahdenperä.</p><p><br></p><p>Luolamiehet aloittivat pelin tehokkaasti avauskaksikon onnistuessa jokaisella heitollaan ja mainio tahti jatkui edelleen tasaisen varmasti kohti erän puoltaväliä. Vastustajat eivät tästä häkeltyneet, vaan heittelivät oman pelistrategiansa mukaan, jääden kuitenkin jälkeen erän puolivälissä. Ensimmäisen erän jälkipuolisko onnistui Luolamiehillä erinomaisesti etenkin Penttisen ja Tapasen osalta. Tällä kertaa ei sorruttu syöttöpeliin, vaan kerrankin heitettiin kyykät ulos asti ja tyhjennettiin kenttä. Draconis tyytyi hieman vaatimattomampaan työskentelyyn ja erätulokseksi kirjattiin 0-16.</p><p><br></p><p>Toisessa erässä molemmat joukkueet luottivat samoihin miehityksiin. Noppamiesten aloituskaksikosta kunnostautui Rannikko, joka kosiskeli yleisöä heittämällä joulukuusen sekä hauen. Luolamiehet halusivat myös tarjota yleisölle elämyksiä, kun Honka esitteli oman erikoisuutensa: 'Tuomarin kaato vasurilla'. Turvallisuussyistä heitto heitettiin reilusti yli pään korkuisena ja tuomaria oli informoitu asiasta etukäteen. Draconis aloitti loppukirinsä hyvissä ajoin 'Husse' Huusansaaren heittäessä kolmantena yhteensä kahdeksan kyykkää ulos. Luolikset taasen eivät lainkaan pysyneet ensimmäisen erän kaltaisessa raivossa ja lopulta ottelu venyikin raastavaksi väännöksi. Luolamiehillä oli reilusta johtoasemasta huolimatta tilaisuus hutiloida voitto sivu suun mutta näin ei kuitenkaan käynyt, vaan viimeiset heittäjät pitivät pintansa huuteluista huolimatta. Toinen erä Draconikselle (24-14) ja lopputulos 24-30.</p>
Otteluraportti: ITKK - PKMM 19.2.2004;Mikko Kuusio / ITKK;2004-02-19;20:54:56;<p>Illan ensimmäisenä otteluna oli lähes merkityksetön kamppailu Mestarien ja veteraanijoukkue PKMM:n välillä. ITKK-99:llä oli mahdollisuus pudota tappion ja KCK:n voiton myötä lopputaulukossa sijalle viisi.</p><p><br></p><p>Metallimiesten kapteeni Jäppinen yritti sekoittaa vastustajan pasmat heti alussa mielenkiintoisella kvartetilla, mutta lähes parhaalla kokoonpanolla pelannut ITKK joutui toteamaan ettei vastustajan 'kakkosvitjaa' voi aliarvioida. Ahosen kerätessä parhaan pistesaaliin päädyttiin lukemiin 9-14. Mestarien toisella kierroksella sutimat hauet pistivät joukkueen mietteliääksi.</p><p><br></p><p>Toiselle jaksolle ainoa muutos oli PKMM:n aloitusduon vaihtaminen toisin päin. Ei huono ratkaisu sillä ulos heitetyt kyykät nousivat 14:sta 18:sta. Kotijoukkue jätti pari haukea vähemmän heittämättä toisella jaksolla ja päätyi kauden parhaaseen lopputuloseen. Toinen erä päättyi lukemiin 4-22 ja koko ottelun siis 13-36. Samalla varmistui Mestareille historiallinen runkosarjan kolmas sija. Tosin eroa karsintaviivaan jäi vain neljä pistettä, joten liigan keskikasti oli varsin tasainen.</p><p><br></p><p>Illan positiivisin yllättäjä oli Marko '14-16' Parviainen, joka alavireisen edellisen ottelun jälkeen (12 pisteen erä) paukutti kauden pohjat 20+20. Mestarien paras oli kovassa treeniputkessa asustava Ahonen, jonka treeni-intoa ja määriä fanitkin ihmettelevät. 'Kun ei vaan iskis ylikunto' on kuultu monen suusta kentän laidalla.</p><p><br></p><p>Illan toisen ottelun perusteella Mestareilla tulee olemaan hikinen työ välieräpaikan varmistamisessa sillä vastaan asettuu tuttu vihollinen LSD, jonka nykykunto vaikuttaa viimeistelyä lukuunottamatta varsin vahvalta. Ensi tiistaina nähdään miten viime vuoden finalistit kapinoivat toisiaan vastaan ensimmäisessä puolivälierässä. Ottelu alkaa klo 18.30, joten tervetuloa kaikille tutuille ja tuntemattomille.</p>
